,date,temp_max,temp_min,description
0,8 мар,4,-2,"Облачно, небольшой  мокрый снег"
1,9 мар,2,-7,"Пасмурно, небольшой  снег"
2,10 мар,9,2,Облачно
3,11 мар,10,2,Малооблачно
4,12 мар,11,3,Малооблачно
5,13 мар,10,3,Малооблачно
6,14 мар,10,3,Малооблачно
7,15 мар,8,3,Малооблачно
8,16 мар,6,2,Облачно
9,17 мар,5,2,Малооблачно
10,18 мар,5,2,Безоблачно
11,19 мар,6,1,Безоблачно
12,20 мар,6,1,"Малооблачно, небольшой  дождь"
13,21 мар,4,2,"Облачно, небольшой  снег с дождём"
14,22 мар,3,1,"Облачно, небольшой  снег с дождём"
15,23 мар,4,0,Пасмурно
16,24 мар,4,-1,Пасмурно
17,25 мар,4,-1,Облачно
18,26 мар,5,0,Облачно
19,27 мар,5,1,"Пасмурно, небольшой  снег с дождём"
20,28 мар,5,0,"Пасмурно, небольшой  снег с дождём"
21,29 мар,5,0,"Пасмурно, небольшой  снег с дождём"
22,30 мар,5,1,"Облачно, небольшой  снег с дождём"
23,31 мар,5,1,"Пасмурно, небольшой  снег с дождём"
24,1 апр,5,1,Пасмурно
25,2 апр,5,1,"Пасмурно, небольшой  дождь"
26,3 апр,6,2,"Облачно, небольшой  снег с дождём"
27,4 апр,7,2,"Облачно, небольшой  снег с дождём"
28,5 апр,8,3,"Пасмурно, небольшой  дождь"
